cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.011653280000000075,0.009081535774464394
-0.004191121378621316,0.01667054000000004,0.014098795774464356
-0.016062062937062936,0.002025970000000113,-0.00054577422553557
-0.015359640359640332,-0.018129090000000035,-0.020700834225535716
-0.01047390109890109,-0.03512500999999996,-0.037696754225535645
-0.012565559440559409,-0.03312614999999999,-0.03569789422553568
-0.006985202297702239,-0.044510949999999994,-0.04708269422553568
-0.02094780219780218,-0.05064681999999992,-0.05321856422553561
-0.022344842657342573,-0.050601119999999916,-0.053172864225535604
-0.018856143856143863,-0.058418419999999915,-0.060990164225535604
-0.004191121378621319,-0.04834999999999999,-0.05092174422553568
-0.011168518981018881,-0.04716904999999999,-0.04974079422553568
-0.020253184315684257,-0.053917129999999876,-0.056488874225535564
-0.012565559440559412,-0.04859572999999988,-0.05116747422553557
-0.012565559440559412,-0.044140629999999875,-0.04671237422553556
-0.008374438061937958,-0.049478840000000024,-0.05205058422553571
-0.0062827797202796385,-0.05023320999999995,-0.05280495422553564
-0.0013970404595403958,-0.05064459999999999,-0.05321634422553568
-0.0069852022977022424,-0.05774752999999988,-0.06031927422553557
-0.015359640359640336,-0.05782082999999988,-0.06039257422553557
-0.01675668081918073,-0.06261463999999985,-0.06518638422553553
-0.023039460539460502,-0.06595864000000003,-0.06853038422553571
-0.04189560439560436,-0.08377216999999991,-0.0863439142255356
-0.043995067432567356,-0.09075860999999995,-0.09333035422553564
-0.037704483016982905,-0.08772678999999983,-0.09029853422553552
-0.04539210789210789,-0.1148979699999999,-0.11746971422553559
-0.041200986513486436,-0.09599474000000002,-0.09856648422553571
-0.038406905594405516,-0.10290429999999999,-0.10547604422553568
-0.039101523476523445,-0.10016998999999985,-0.10274173422553554
-0.04120098651348644,-0.10365942999999989,-0.10623117422553557
-0.04748376623376622,-0.11267150999999996,-0.11524325422553565
-0.043292644855144766,-0.10288955999999996,-0.10546130422553565
-0.0446896853146853,-0.1016952,-0.10426694422553569
-0.03142170329670328,-0.1020242,-0.10459594422553568
-0.02862762237762236,-0.09534495999999995,-0.09791670422553564
-0.02723058191808183,-0.09924102999999988,-0.10181277422553557
-0.01606206293706295,-0.09562531999999992,-0.0981970642255356
-0.01606206293706295,-0.09889372999999987,-0.10146547422553556
-0.039101523476523445,-0.11445039000000003,-0.11702213422553571
-0.030727085414585353,-0.11218624000000002,-0.11475798422553571
-0.02164242007991998,-0.10223039000000002,-0.1048021342255357
-0.020947802197802193,-0.0966615199999999,-0.09923326422553559
-0.020947802197802193,-0.10339725999999994,-0.10596900422553562
-0.032124125874125886,-0.10571832999999986,-0.10829007422553555
-0.027933004495504433,-0.10124532999999986,-0.10381707422553554
-0.057263049450549386,-0.1164208699999999,-0.11899261422553559
-0.06285121128871124,-0.12373632999999987,-0.12630807422553555
-0.04888080669330662,-0.10600545999999994,-0.10857720422553563
-0.04888080669330662,-0.10370377999999987,-0.10627552422553556
-0.046789148351648296,-0.10674292999999987,-0.10931467422553556
-0.04189560439560438,-0.10102044999999998,-0.10359219422553567
-0.04329264485514477,-0.08344024999999998,-0.08601199422553567
-0.05027784715284715,-0.09634389999999998,-0.09891564422553567
-0.04120098651348646,-0.10341464000000002,-0.1059863842255357
-0.05307192807192808,-0.10921977999999986,-0.11179152422553555
-0.062148788711288636,-0.10661480999999993,-0.10918655422553562
-0.06773695054945048,-0.11132115999999993,-0.11389290422553562
-0.08100493256743249,-0.12650050999999993,-0.12907225422553562
-0.08030250999001003,-0.12460429,-0.1271760342255357
-0.08659309440559435,-0.11680089999999997,-0.11937264422553566
-0.07122564935064933,-0.12481844999999997,-0.12739019422553566
-0.07611919330669326,-0.13050939999999997,-0.13308114422553566
-0.08868475274725267,-0.13944760999999994,-0.14201935422553563
-0.08799013486513488,-0.1512066199999999,-0.1560895895759665
-0.08240197302697302,-0.14298404,-0.1478670095759666
-0.09217345154845151,-0.14638474999999998,-0.15126771957596657
-0.09636457292707297,-0.13259345999999994,-0.13747642957596654
-0.09846403596403597,-0.1160694199999999,-0.12095238957596649
-0.09846403596403597,-0.12748590999999992,-0.13236887957596652
-0.11382367632367629,-0.12908985999999992,-0.1339728295759665
-0.1124266358641359,-0.12562342999999984,-0.13050639957596644
-0.11592313936063929,-0.11789369999999995,-0.12277666957596654
-0.12150349650349646,-0.12742082999999985,-0.13230379957596644
-0.12639704045954037,-0.13294115999999992,-0.13782412957596651
-0.13966502247752238,-0.15076176999999988,-0.15564473957596647
-0.1424591033966033,-0.14734709999999995,-0.15223006957596655
-0.16480394605394602,-0.17332245999999982,-0.1782054295759664
-0.19692807192807188,-0.2250806699999998,-0.22996363957596638
-0.1620098651348651,-0.22073991999999978,-0.22562288957596638
-0.15712412587412586,-0.2132780399999998,-0.2181610095759664
-0.15991820679320679,-0.20372429999999986,-0.20860726957596645
-0.13687094155844148,-0.18963899999999986,-0.19452196957596646
-0.12988573926073924,-0.1642250599999998,-0.16910802957596643
-0.1375655594405594,-0.16141650999999982,-0.16629947957596644
-0.13267982017982016,-0.15301209999999996,-0.15789506957596658
-0.13198520229770225,-0.1501382099999999,-0.15502117957596653
-0.14315372127872125,-0.15303785999999991,-0.15792082957596654
-0.14455076173826178,-0.13802471999999988,-0.1429076895759665
-0.14175668081918086,-0.13692860999999992,-0.14181157957596655
-0.10405219780219782,-0.12507619,-0.12995915957596663
-0.1138236763236763,-0.11200872999999986,-0.11689169957596648
-0.11312905844155838,-0.11600857999999986,-0.12089154957596648
-0.11102959540459538,-0.11426945999999993,-0.11915242957596656
-0.11801479770229761,-0.11551367999999985,-0.12039664957596648
-0.10754089660339652,-0.09325864999999997,-0.0981416195759666
-0.09217345154845151,-0.08351404000000001,-0.08839700957596663
-0.09427291458541451,-0.05795633999999983,-0.06283930957596645
-0.11382367632367629,-0.06918989999999997,-0.0740728695759666
-0.10893793706293706,-0.056124299999999974,-0.0610072695759666
