cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.0011293099999999628,0.0018017328146598826
-0.004191121378621316,0.006366259999999962,0.007038682814659882
-0.016062062937062936,0.003701059999999962,0.004373482814659883
-0.015359640359640332,-0.002358390000000038,-0.0016859671853401174
-0.01047390109890109,-0.018165700000000187,-0.01749327718534027
-0.012565559440559409,-0.02313884000000004,-0.02246641718534012
-0.006985202297702239,-0.025584230000000076,-0.024911807185340158
-0.02094780219780218,-0.04369401000000015,-0.04302158718534023
-0.022344842657342573,-0.03618412000000011,-0.03551169718534019
-0.018856143856143863,-0.04763706000000015,-0.046964637185340226
-0.004191121378621319,-0.044318390000000034,-0.04364596718534011
-0.011168518981018881,-0.04818808000000007,-0.04751565718534015
-0.020253184315684257,-0.054760250000000184,-0.05408782718534026
-0.012565559440559412,-0.050518100000000184,-0.04984567718534026
-0.012565559440559412,-0.048679360000000144,-0.04800693718534022
-0.008374438061937958,-0.03500977000000011,-0.034337347185340185
-0.0062827797202796385,-0.036403510000000146,-0.035731087185340224
-0.0013970404595403958,-0.027451510000000144,-0.026779087185340222
-0.0069852022977022424,-0.03635740000000018,-0.035684977185340264
-0.015359640359640336,-0.0376552700000001,-0.03698284718534019
-0.01675668081918073,-0.05016438999999984,-0.05000418658919779
-0.023039460539460502,-0.05096129999999999,-0.05080109658919794
-0.04189560439560436,-0.0794560199999999,-0.07929581658919786
-0.043995067432567356,-0.07777840999999994,-0.0776182065891979
-0.037704483016982905,-0.08890957999999986,-0.08874937658919782
-0.04539210789210789,-0.11791191999999989,-0.11775171658919786
-0.041200986513486436,-0.10552829999999996,-0.10536809658919793
-0.038406905594405516,-0.10454272999999985,-0.10438252658919782
-0.039101523476523445,-0.10873411999999988,-0.10857391658919785
-0.04120098651348644,-0.10334347999999983,-0.1031832765891978
-0.04748376623376622,-0.10790521999999987,-0.10774501658919784
-0.043292644855144766,-0.11227151999999987,-0.11211131658919785
-0.0446896853146853,-0.09280024999999995,-0.09264004658919792
-0.03142170329670328,-0.08371459999999994,-0.08355439658919792
-0.02862762237762236,-0.08084436999999987,-0.08068416658919784
-0.02723058191808183,-0.0815979899999998,-0.08143778658919777
-0.01606206293706295,-0.08164635999999992,-0.08148615658919789
-0.01606206293706295,-0.08790727999999984,-0.08774707658919781
-0.039101523476523445,-0.11929095999999992,-0.11913075658919789
-0.030727085414585353,-0.1025698399999998,-0.10240963658919777
-0.02164242007991998,-0.09315726999999988,-0.09299706658919785
-0.020947802197802193,-0.08848974999999995,-0.08832954658919792
-0.020947802197802193,-0.08770914999999994,-0.08754894658919792
-0.032124125874125886,-0.0942479899999998,-0.09408778658919777
-0.027933004495504433,-0.0925714899999998,-0.09241128658919777
-0.057263049450549386,-0.11901423999999998,-0.11885403658919795
-0.06285121128871124,-0.11898222999999983,-0.1188220265891978
-0.04888080669330662,-0.1105140599999999,-0.11035385658919787
-0.04888080669330662,-0.11591928999999979,-0.11575908658919776
-0.046789148351648296,-0.10225964999999994,-0.10209944658919791
-0.04189560439560438,-0.09578801999999986,-0.09562781658919783
-0.04329264485514477,-0.09293703999999979,-0.09277683658919776
-0.05027784715284715,-0.09783151999999987,-0.09767131658919784
-0.04120098651348646,-0.09320494999999994,-0.09304474658919791
-0.05307192807192808,-0.09617808999999979,-0.09601788658919776
-0.062148788711288636,-0.11427998999999979,-0.11411978658919776
-0.06773695054945048,-0.1237002399999998,-0.12354003658919777
-0.08100493256743249,-0.14317782999999984,-0.1430176265891978
-0.08030250999001003,-0.1332259699999999,-0.13306576658919786
-0.08659309440559435,-0.14315085999999994,-0.1429906565891979
-0.07122564935064933,-0.12871339999999998,-0.12855319658919795
-0.07611919330669326,-0.14209347999999986,-0.14193327658919783
-0.08868475274725267,-0.15948977999999986,-0.15932957658919783
-0.08799013486513488,-0.1529697199999999,-0.15280951658919786
-0.08240197302697302,-0.15177759999999996,-0.15161739658919793
-0.09217345154845151,-0.16746269999999996,-0.16730249658919794
-0.09636457292707297,-0.17322952999999985,-0.17306932658919782
-0.09846403596403597,-0.17201665999999993,-0.1718564565891979
-0.09846403596403597,-0.17921923999999992,-0.1790590365891979
-0.11382367632367629,-0.1979840699999999,-0.19782386658919787
-0.1124266358641359,-0.18662547999999987,-0.18646527658919784
-0.11592313936063929,-0.1950740499999999,-0.19491384658919786
-0.12150349650349646,-0.1950237199999999,-0.19486351658919787
-0.12639704045954037,-0.21990712999999987,-0.21974692658919784
-0.13966502247752238,-0.24276527999999986,-0.24260507658919783
-0.1424591033966033,-0.23904633999999983,-0.2388861365891978
-0.16480394605394602,-0.2685312199999999,-0.2683710165891979
-0.19692807192807188,-0.2980500699999999,-0.29788986658919786
-0.1620098651348651,-0.27773440999999993,-0.2775742065891979
-0.15712412587412586,-0.2670035199999999,-0.26684331658919785
-0.15991820679320679,-0.2460363899999999,-0.24587618658919788
-0.13687094155844148,-0.2201438899999999,-0.21998368658919787
-0.12988573926073924,-0.1815392399999999,-0.18137903658919788
-0.1375655594405594,-0.19707232999999985,-0.19691212658919782
-0.13267982017982016,-0.19438635999999992,-0.1942261565891979
-0.13198520229770225,-0.18495902999999986,-0.18479882658919783
-0.14315372127872125,-0.19230438999999983,-0.1921441865891978
-0.14455076173826178,-0.19576404999999988,-0.19560384658919786
-0.14175668081918086,-0.1940973499999999,-0.19393714658919786
-0.10405219780219782,-0.15911148999999983,-0.1589512865891978
-0.1138236763236763,-0.1602540199999999,-0.16009381658919788
-0.11312905844155838,-0.1574224,-0.15726219658919796
-0.11102959540459538,-0.15308027999999987,-0.15292007658919785
-0.11801479770229761,-0.16120243999999984,-0.1610422365891978
-0.10754089660339652,-0.15614283999999984,-0.1559826365891978
-0.09217345154845151,-0.13287179999999998,-0.13271159658919796
-0.09427291458541451,-0.13753923999999984,-0.1373790365891978
-0.11382367632367629,-0.15289619999999998,-0.15273599658919795
-0.10893793706293706,-0.14623483999999984,-0.1460746365891978
-0.12919112137862132,-0.16470648999999993,-0.1645462865891979
-0.13407686063936056,-0.18812790999999995,-0.18796770658919792
-0.13058816183816185,-0.18633795999999994,-0.1861777565891979
-0.12848869880119887,-0.19420769999999998,-0.19404749658919795
-0.11173201798201801,-0.15938471999999992,-0.1592245165891979
-0.11661775724275725,-0.16576480999999996,-0.16560460658919793
-0.11452609890109892,-0.14496027999999989,-0.14480007658919786
-0.10754089660339655,-0.14540756999999993,-0.1452473665891979
-0.09427291458541454,-0.14178793999999986,-0.14162773658919783
-0.096364572927073,-0.14712760000000003,-0.146967396589198
-0.08449363136863138,-0.12637821999999996,-0.12621801658919793
-0.0879901348651349,-0.12528696,-0.12512675658919797
-0.09147883366633362,-0.12236341999999996,-0.12220321658919793
-0.0782108516483516,-0.12750292999999993,-0.1273427265891979
-0.08169955044955046,-0.12820903999999989,-0.12804883658919786
-0.07890546953046954,-0.13523821,-0.13507800658919797
-0.07890546953046954,-0.12903485000000003,-0.128874646589198
-0.08519605394605398,-0.13112882999999992,-0.1309686265891979
-0.08519605394605398,-0.13744098999999987,-0.13728078658919785
-0.07960789210789213,-0.13091570000000002,-0.130755496589198
-0.07024225774225767,-0.11856551999999995,-0.11840531658919792
-0.07528409090909087,-0.12146820000000003,-0.121307996589198
-0.08176198801198799,-0.11861335999999999,-0.11845315658919796
-0.08824768981018978,-0.13755135000000002,-0.137391146589198
-0.0896837537462537,-0.14246136999999995,-0.14230116658919792
-0.08824768981018978,-0.12071688999999988,-0.12055668658919785
-0.07384022227772227,-0.09716423999999987,-0.09700403658919785
-0.05583479020979016,-0.09304182999999991,-0.09288162658919788
-0.05799669080919085,-0.08993876999999995,-0.08977856658919792
-0.07672015484515478,-0.11228311999999994,-0.11212291658919792
-0.08320585664335657,-0.12542710999999998,-0.12526690658919795
-0.09400755494505493,-0.11511203999999987,-0.11495183658919784
-0.10480925324675315,-0.14038627999999992,-0.1402260765891979
-0.10337318931068923,-0.14323811999999997,-0.14307791658919794
-0.11273101898101899,-0.14934421999999997,-0.14918401658919794
-0.11921672077922078,-0.13858615000000005,-0.13842594658919802
-0.10192932067932063,-0.13127362999999995,-0.13111342658919792
-0.1156109515484515,-0.14146951000000002,-0.141309306589198
-0.10264735264735259,-0.12832586999999998,-0.12816566658919795
-0.10264735264735259,-0.12255962999999995,-0.12239942658919792
-0.09833135614385616,-0.11933120000000005,-0.11917099658919802
-0.10768918581418578,-0.11672071999999997,-0.11656051658919794
-0.10768918581418578,-0.11707621999999997,-0.11691601658919794
-0.0954514235764235,-0.11113551,-0.11097530658919798
-0.10768918581418578,-0.11878038999999989,-0.11862018658919786
-0.118490884115884,-0.13084893999999989,-0.13068873658919786
-0.10121128871128866,-0.12417376999999996,-0.12401356658919793
-0.10264735264735259,-0.1290787899999999,-0.12891858658919786
-0.10121128871128866,-0.10941661,-0.10925640658919797
-0.11056911838161829,-0.11911450000000004,-0.11895429658919801
-0.09976742007992007,-0.1079349899999999,-0.10777478658919787
-0.11417488761238757,-0.11710277999999993,-0.1169425765891979
-0.12497658591408593,-0.12546926,-0.12530905658919797
-0.12785651848151844,-0.12412028999999988,-0.12396008658919785
-0.1379401848151847,-0.14772131999999996,-0.14756111658919793
-0.1444180819180818,-0.14358168999999987,-0.14342148658919784
-0.14370004995004984,-0.13896540000000002,-0.138805196589198
