coid,year,quarter,營收 YoY,存貨 YoY,毛利率,營業利益率,營業現金流
2330,2011,1,15.0,,49.03,37.16,56478079000.0
2330,2011,2,6.11,,46.02,34.27,63063355000.0
2330,2011,3,-4.11,,42.04,29.67,55208959000.0
2330,2011,4,-3.57,,44.74,31.45,72836658000.0
2330,2012,1,1.66,-0.1267203169171126,47.72,33.25,56101634000.0
2330,2012,2,17.3,-0.023561689759601268,48.84,36.57,68667099000.0
2330,2012,3,33.22,0.2941279660367475,48.87,37.31,75395863000.0
2330,2012,4,25.67,0.5229312260075065,47.16,35.29,84798564000.0
2330,2013,1,25.7,0.3629187132891316,45.77,33.47,73569672000.0
2330,2013,2,21.61,0.25452707571093947,49.02,36.97,75238656000.0
2330,2013,3,14.9,0.11030337863839401,48.56,36.67,95802107000.0
2330,2013,4,10.93,-0.008871281578159529,44.47,32.75,102773102000.0
2330,2014,1,11.65,0.14928064347265058,47.48,35.43,94860941000.0
2330,2014,2,17.41,0.31954836222923944,49.83,38.63,81748863000.0
2330,2014,3,28.59,0.7698574137269196,50.5,40.39,91245080000.0
2330,2014,4,52.61,0.7692535087378434,49.68,39.64,153668847000.0
2330,2015,1,49.81,0.48568952759865414,49.29,39.01,156000661000.0
2330,2015,2,12.25,0.300746797152309,48.53,37.51,111067152000.0
2330,2015,3,1.65,-0.004144283416549821,48.15,36.89,118139439000.0
2330,2015,4,-8.54,0.010767573822841214,48.6,38.31,144672186000.0
2330,2016,1,-8.35,-0.11389139380380076,44.9,34.63,121528853000.0
2330,2016,2,7.97,-0.08408118536365516,51.55,41.17,106676391000.0
2330,2016,3,22.54,-0.17188751753713527,50.71,40.81,126409559000.0
2330,2016,4,28.85,-0.27396592240650464,52.29,41.91,185219789000.0
2330,2017,1,14.95,-0.1197243228436583,51.94,40.76,161008044000.0
2330,2017,2,-3.59,0.00501946979905421,50.85,38.93,103400380000.0
2330,2017,3,-3.19,0.3713982687845532,49.93,38.89,116783434000.0
2330,2017,4,5.85,0.5176121235030446,49.97,39.23,204126309000.0
2330,2018,1,6.06,0.6911600110039842,50.38,39.03,160725918000.0
2330,2018,2,9.08,0.6231966041924732,47.84,36.19,129773360000.0
2330,2018,3,3.27,0.4255115230856943,47.39,36.58,94082482000.0
2330,2018,4,4.4,0.3972649193706719,47.64,36.97,189372548000.0
2330,2019,1,-11.84,0.2753768167135102,41.31,29.38,152670278000.0
2330,2019,2,3.31,0.09289719330030821,43.02,31.66,117761028000.0
2330,2019,3,12.56,-0.08212575658430366,47.58,36.82,141753021000.0
2330,2019,4,9.48,-0.1961599200612033,50.2,39.16,202954417000.0
